Unnamed: 0,sample,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,temperature,residence_time,pressure,heat_rate,fuel_type,fuel_category,devol_yield,E_A,A0
759,digestate_pp_200,7.649999999999999,63.025000000000006,11.55,17.775,49.517,7.196249999999999,15.9,1.809,0.17325,0.00175,1.625,0.3,22.8685,400,10.0,1.0,1000,Digestate_PP,Co-Pyro,13.35361731,19.958405438643073,210.70680741047025
760,digestate_pp_201,7.649999999999999,63.025000000000006,11.55,17.775,49.517,7.196249999999999,15.9,1.809,0.17325,0.00175,1.625,0.3,22.8685,400,10.0,1.0,1000,Digestate_PP,Co-Pyro,19.00996906,19.958405438643073,210.70680741047025
761,digestate_pp_202,7.649999999999999,63.025000000000006,11.55,17.775,49.517,7.196249999999999,15.9,1.809,0.17325,0.00175,1.625,0.3,22.8685,400,10.0,1.0,1000,Digestate_PP,Co-Pyro,22.22955145,19.958405438643073,210.70680741047025
763,digestate_pp_258,7.649999999999999,63.025000000000006,11.55,17.775,49.517,7.196249999999999,15.9,1.809,0.17325,0.00175,1.625,0.3,22.8685,400,10.0,1.0,1000,Digestate_PP,Co-Pyro,18.75626881,19.958405438643073,210.70680741047025
779,digestate_pp_231,5.1,75.35,7.7,11.85,61.534,9.5925,10.6,1.218,0.1465,0.0035,1.75,0.2,30.682,400,10.0,1.0,1000,Digestate_PP,Co-Pyro,14.14107324,19.958405438643073,210.70680741047025
942,dgst_car_3,5.647250490709999,59.71514676812,15.073727984450002,19.56387475672,50.52416179002235,6.944841427190498,15.060711449830038,1.8798194739139205,0.3793406126171146,0.0,1.608429416735951,0.2524374087943246,22.65040822874854,400,10.0,1.0,1000,Digestate_SCP,Co-Pyro,20.73170732,15.09872569875148,115.8293161154276
943,dgst_car_4,5.789870426839999,59.43273728048,15.0839488178,19.69344347488,50.116165453116594,6.877651886731332,15.253031483937388,1.896114706773774,0.3737225686933765,0.0,1.6050327448000274,0.2570599708944329,22.424876731801778,400,10.0,1.0,1000,Digestate_SCP,Co-Pyro,19.51646811,15.09872569875148,115.8293161154276
944,dgst_car_233,5.62754542593,59.75416583796,15.07231582435,19.54597291176,50.580532550428536,6.954124661240465,15.034139577527956,1.877568045201907,0.3801168289193938,0.0,1.6088987174687237,0.2517987331077139,22.68156875846028,400,10.0,1.0,1000,Digestate_SCP,Co-Pyro,15.30722242,15.09872569875148,115.8293161154276
1052,dgst_car_92,7.984358631999999,55.087311904,15.24121644,21.687113024,43.83833941151721,5.84380866643035,18.21225344067598,2.1468489118339265,0.2872779140310992,0.0,1.552768266898512,0.3281871799058072,18.95463110295371,400,10.0,1.0,1000,Digestate_SCP,Co-Pyro,23.94247039,15.09872569875148,115.8293161154276
1053,dgst_car_94,7.863921947679999,55.32579512896,15.2325853656,21.57769755776,44.18287557781338,5.900547476539691,18.049847062825087,2.1330882562824174,0.2920221216145494,0.0,1.5556366169818587,0.3242836158774733,19.14508319849548,400,10.0,1.0,1000,Digestate_SCP,Co-Pyro,17.43976987,15.09872569875148,115.8293161154276
1443,htc_10,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,400,1.0,1.0,1000,HTC-MSW,Mix,22.73730684,4.281764749205312,36.58377665915595
1444,htc_16,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,400,1.0,1.0,1000,HTC-MSW,Mix,13.39931481,4.281764749205312,36.58377665915595
1567,htc_153,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,400,1.0,1.0,1000,HTC-MSW,Mix,15.77335375,4.281764749205312,36.58377665915595
1446,htc_153,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,400,2.0,1.0,1000,HTC-MSW,Mix,15.77335375,4.281764749205312,36.58377665915595
1553,htc_137,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,400,10.0,1.0,1000,HTC-MSW,Mix,40.06550218,4.281764749205312,36.58377665915595
1615,hc_5,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,400,1.0,1.0,1000,Hemicellulose,Biomass,60.13179572,23.72694755929004,749.3056913708809
1616,hc_6,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,400,1.0,1.0,1000,Hemicellulose,Biomass,4.085945756,23.72694755929004,749.3056913708809
1653,hc_56,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,400,1.0,1.0,1000,Hemicellulose,Biomass,11.94590533,23.72694755929004,749.3056913708809
1660,lig_5,5.81,57.23263005,35.24991547,1.707454472,58.40088272,4.410370827,35.92947522,0.889846176,0.369425058,0.0,0.906226883,0.461416081,26.10225,400,1.0,1.0,1000,Lignin,Biomass,12.22537208,20.54726899016291,294.4275701516588
1661,lig_6,5.81,57.23263005,35.24991547,1.707454472,58.40088272,4.410370827,35.92947522,0.889846176,0.369425058,0.0,0.906226883,0.461416081,26.10225,400,1.0,1.0,1000,Lignin,Biomass,13.01564723,20.54726899016291,294.4275701516588
